date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:00:34	11945/11945	---M--	200	added ('OK')	image/png	etag:%225afd4a6d-2ea9%22	https://www.dartfordlabourparty.org.uk/wp-content/themes/labour-multi-site-theme/static/img/icons/favicon.png	C:/My%20Web%20Sites/dartfordlaboursite/www.dartfordlabourparty.org.uk/wp-content/themes/labour-multi-site-theme/static/img/icons/favicon.png	(from https://www.dartfordlabourparty.org.uk/)
14:00:34	196/196	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2019%20Sep%202021%2013:00:34%20GMT	https://www.dartfordlabourparty.org.uk/wp-content/themes/labour-multi-site-theme/manifest.json	C:/My%20Web%20Sites/dartfordlaboursite/www.dartfordlabourparty.org.uk/wp-content/themes/labour-multi-site-theme/manifest.json	(from https://www.dartfordlabourparty.org.uk/)
14:00:34	51356/51356	---MCZ	200	added ('OK')	text/css	etag:W/%2260352d25-c89c%22	https://www.dartfordlabourparty.org.uk/wp-content/themes/labour-multi-site-theme/static/compiled/app.min.css	C:/My%20Web%20Sites/dartfordlaboursite/www.dartfordlabourparty.org.uk/wp-content/themes/labour-multi-site-theme/static/compiled/app.min.css	(from https://www.dartfordlabourparty.org.uk/)
14:00:35	42/42	---M--	405	error ('Method%20Not%20Allowed')	text/plain	date:Sun,%2019%20Sep%202021%2013:00:35%20GMT	https://www.dartfordlabourparty.org.uk/xmlrpc.php	C:/My%20Web%20Sites/dartfordlaboursite/www.dartfordlabourparty.org.uk/xmlrpc.php	(from https://www.dartfordlabourparty.org.uk/)
14:00:35	80574/80574	---MCZ	200	added ('OK')	text/css	etag:W/%2260f4cdd9-13abe%22	https://www.dartfordlabourparty.org.uk/wp-includes/css/dist/block-library/style.min.css?ver=5.8	C:/My%20Web%20Sites/dartfordlaboursite/www.dartfordlabourparty.org.uk/wp-includes/css/dist/block-library/style.min41a3.css	(from https://www.dartfordlabourparty.org.uk/)
14:00:35	1372/1372	---MCZ	200	added ('OK')	application/json	date:Sun,%2019%20Sep%202021%2013:00:35%20GMT	https://www.dartfordlabourparty.org.uk/wp-json/wp/v2/pages/5	C:/My%20Web%20Sites/dartfordlaboursite/www.dartfordlabourparty.org.uk/wp-json/wp/v2/pages/5.json	(from https://www.dartfordlabourparty.org.uk/)
14:00:35	128156/128156	---MCZ	200	added ('OK')	application/json	date:Sun,%2019%20Sep%202021%2013:00:35%20GMT	https://www.dartfordlabourparty.org.uk/wp-json/	C:/My%20Web%20Sites/dartfordlaboursite/www.dartfordlabourparty.org.uk/wp-json/index.html	(from https://www.dartfordlabourparty.org.uk/)
14:00:36	894/894	---MCZ	200	added ('OK')	text/xml	date:Sun,%2019%20Sep%202021%2013:00:36%20GMT	https://www.dartfordlabourparty.org.uk/xmlrpc.php?rsd	C:/My%20Web%20Sites/dartfordlaboursite/www.dartfordlabourparty.org.uk/xmlrpc0db0.php	(from https://www.dartfordlabourparty.org.uk/)
14:00:36	1045/1045	---MCZ	200	added ('OK')	text/xml	etag:W/%2252a8c1b7-415%22	https://www.dartfordlabourparty.org.uk/wp-includes/wlwmanifest.xml	C:/My%20Web%20Sites/dartfordlaboursite/www.dartfordlabourparty.org.uk/wp-includes/wlwmanifest.xml	(from https://www.dartfordlabourparty.org.uk/)
14:00:36	2309/2309	---MCZ	200	added ('OK')	application/json	date:Sun,%2019%20Sep%202021%2013:00:36%20GMT	https://www.dartfordlabourparty.org.uk/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.dartfordlabourparty.org.uk%2F	C:/My%20Web%20Sites/dartfordlaboursite/www.dartfordlabourparty.org.uk/wp-json/oembed/1.0/embed80bc.json	(from https://www.dartfordlabourparty.org.uk/)
14:00:36	2403/2403	---MCZ	200	added ('OK')	text/xml	date:Sun,%2019%20Sep%202021%2013:00:36%20GMT	https://www.dartfordlabourparty.org.uk/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.dartfordlabourparty.org.uk%2F&format=xml	C:/My%20Web%20Sites/dartfordlaboursite/www.dartfordlabourparty.org.uk/wp-json/oembed/1.0/embed7509	(from https://www.dartfordlabourparty.org.uk/)
14:00:37	2579/2579	---M--	200	added ('OK')	image/png	etag:%225b4ce01f-a13%22	https://www.dartfordlabourparty.org.uk/wp-content/uploads/sites/340/2018/07/cropped-Labour-Logo-32x32.png	C:/My%20Web%20Sites/dartfordlaboursite/www.dartfordlabourparty.org.uk/wp-content/uploads/sites/340/2018/07/cropped-Labour-Logo-32x32.png	(from https://www.dartfordlabourparty.org.uk/)
14:00:37	20090/20090	---M--	200	added ('OK')	image/png	etag:%225b4ce01f-4e7a%22	https://www.dartfordlabourparty.org.uk/wp-content/uploads/sites/340/2018/07/cropped-Labour-Logo-192x192.png	C:/My%20Web%20Sites/dartfordlaboursite/www.dartfordlabourparty.org.uk/wp-content/uploads/sites/340/2018/07/cropped-Labour-Logo-192x192.png	(from https://www.dartfordlabourparty.org.uk/)
14:00:37	18753/18753	---M--	200	added ('OK')	image/png	etag:%225b4ce01f-4941%22	https://www.dartfordlabourparty.org.uk/wp-content/uploads/sites/340/2018/07/cropped-Labour-Logo-180x180.png	C:/My%20Web%20Sites/dartfordlaboursite/www.dartfordlabourparty.org.uk/wp-content/uploads/sites/340/2018/07/cropped-Labour-Logo-180x180.png	(from https://www.dartfordlabourparty.org.uk/)
14:00:37	9804/9804	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225afd4a6d-264c%22	https://www.dartfordlabourparty.org.uk/wp-content/themes/labour-multi-site-theme/static/img/ukLabour-logo.svg	C:/My%20Web%20Sites/dartfordlaboursite/www.dartfordlabourparty.org.uk/wp-content/themes/labour-multi-site-theme/static/img/ukLabour-logo.svg	(from https://www.dartfordlabourparty.org.uk/)
14:00:37	12795/12795	---M--	200	added ('OK')	image/png	etag:%225b4ce539-31fb%22	https://www.dartfordlabourparty.org.uk/wp-content/uploads/sites/340/2018/07/Dartford-Labour-Logo-400x0-c-default.png	C:/My%20Web%20Sites/dartfordlaboursite/www.dartfordlabourparty.org.uk/wp-content/uploads/sites/340/2018/07/Dartford-Labour-Logo-400x0-c-default.png	(from https://www.dartfordlabourparty.org.uk/)
14:00:38	157570/157570	---M--	200	added ('OK')	image/jpeg	etag:%225e8dc6b0-26782%22	https://www.dartfordlabourparty.org.uk/wp-content/uploads/sites/340/2019/10/Newtown-CD-1400x0-c-default.jpg	C:/My%20Web%20Sites/dartfordlaboursite/www.dartfordlabourparty.org.uk/wp-content/uploads/sites/340/2019/10/Newtown-CD-1400x0-c-default.jpg	(from https://www.dartfordlabourparty.org.uk/)
14:00:39	34882/34882	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Sep%202021%2013:00:38%20GMT	https://www.dartfordlabourparty.org.uk/about/	C:/My%20Web%20Sites/dartfordlaboursite/www.dartfordlabourparty.org.uk/about/index.html	(from https://www.dartfordlabourparty.org.uk/)
14:00:39	49710/49710	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Sep%202021%2013:00:38%20GMT	https://www.dartfordlabourparty.org.uk/volunteer/	C:/My%20Web%20Sites/dartfordlaboursite/www.dartfordlabourparty.org.uk/volunteer/index.html	(from https://www.dartfordlabourparty.org.uk/)
14:00:39	33767/33767	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Sep%202021%2013:00:39%20GMT	https://www.dartfordlabourparty.org.uk/contact/	C:/My%20Web%20Sites/dartfordlaboursite/www.dartfordlabourparty.org.uk/contact/index.html	(from https://www.dartfordlabourparty.org.uk/)
